recipient,name
Фізичні особи,Видача витягів з автоматизованої системи ведення земельного кадастру
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Присвоєння поштової адреси об’єкту нерухомого майна (окрім присвоєння поштової адреси багатоквартирним житловим будинкам, домоволодінням, жилим будинкам садибного типу, індивідуальним дачним та садовим будинкам, гаражним, садовим кооперативам)"
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на виробництво електричної енергії
"Юридичні особи,Суб’єкти господарювання",Видача дубліката Свідоцтва про включення до Державного реєстру уповноважених рейтингових агентств
"Юридичні особи,Суб’єкти господарювання","Державна реєстрація договорів (контрактів) про виробничу кооперацію, спільне виробництво та інші види спільної інвестиційної діяльності за участю іноземного інвестора"
"Юридичні особи,Суб’єкти господарювання",Погодження нормативної документації на конструкцію та обладнання автомобільних транспортних засобів
"Юридичні особи,Суб’єкти господарювання","Узгодження нормативної документації на конструкції колісних транспортних засобів та їх складових частин, на переобладнання колісних транспортних засобів, спеціальні і спеціалізовані колісні транспортні засоби та експлуатаційні матеріали, на устаткування,"
"Юридичні особи,Суб’єкти господарювання",Спеціальний дозвіл на зняття та перенесення грунтового покриву (родючого шару грунту) земельних ділянок
"Юридичні особи,Суб’єкти господарювання",Скасування реєстрації випуску цінних паперів
"Юридичні особи,Суб’єкти господарювання",Скасування реєстрації випуску (випусків) цінних паперів інститутів спільного інвестування
"Юридичні особи,Суб’єкти господарювання",Скасування реєстрації випуску (випусків) інвестиційних сертифікатів інвестиційного фонду (інвестиційної компанії)
"Юридичні особи,Суб’єкти господарювання",Сертифікація лікарського засобу (для міжнародної торгівлі)
"Юридичні особи,Суб’єкти господарювання",Сертифікація відповідності вимогам належної виробничої практики (висновок щодо підтвердження відповідності вимогам належної виробничої практики)
"Юридичні особи,Суб’єкти господарювання",Розгляд скарг платників податків на податкові повідомлення-рішення про визначення сум грошових зобов’язань
"Юридичні особи,Суб’єкти господарювання","Рішення про передачу у власність земельних ділянок, надання у постійне користування земельних ділянок, передачу в оренду земельних ділянок"
"Юридичні особи,Суб’єкти господарювання",Реєстрація фізичних осіб (оцінювачів) у Державному реєстрі оцінювачів
"Юридичні особи,Суб’єкти господарювання",Реєстрація та облік науково-дослідних і дослідно-конструкторських робіт
"Юридичні особи,Суб’єкти господарювання",Реєстрація та облік захищених дисертацій
"Юридичні особи,Суб’єкти господарювання",Реєстрація статутів релігійних організацій
"Юридичні особи,Суб’єкти господарювання",Реєстрація повідомлення про початок виконання підготовчих робіт
"Юридичні особи,Суб’єкти господарювання",Реєстрація повідомлення про початок виконання будівельних робіт
"Юридичні особи,Суб’єкти господарювання","Реєстрація оптово-відпускних цін на лікарські засоби і вироби медичного призначення, що закуповуються за рахунок коштів державного та місцевих бюджетів, ведення відповідного реєстру та надання інформації з нього"
"Юридичні особи,Суб’єкти господарювання",Реєстрація об’єкта у Державному реєстрі потенційно небезпечних об’єктів
"Юридичні особи,Суб’єкти господарювання",Реєстрація книги обліку доходів та книги обліку доходів і витрат платникам єдиного податку
"Юридичні особи,Суб’єкти господарювання",Реєстрація книги обліку доходів і витрат
"Юридичні особи,Суб’єкти господарювання",Реєстрація іноземних інвестицій
"Юридичні особи,Суб’єкти господарювання","Реєстрація зовнішньоекономічних контрактів (договорів) на здійснення експортних операцій з брухтом чорних металів, брухтом легованих чорних металів"
"Юридичні особи,Суб’єкти господарювання",Реєстрація зовнішньоекономічних контрактів (договорів) на здійснення експортних операцій з брухтом кольорових металів
"Юридичні особи,Суб’єкти господарювання","Реєстрація зовнішньоекономічних договорів (контрактів), укладених у сфері космічної діяльності"
"Юридичні особи,Суб’єкти господарювання",Реєстрація змін до проспекту емісії цінних паперів інститутів спільного інвестування
"Юридичні особи,Суб’єкти господарювання",Реєстрація змін до проспекту емісії (змін до інформації про випуск) цінних паперів (крім інститутів спільного інвестування)
